,,▲,食料品製造業（経理担当）,受注価格や販売価格の動き,・猛暑で菓子類の売行きが異常に悪くなっており、受注量がますます減少している。,,
,,▲,繊維工業（団体職員）,受注量や販売量の動き,・綿糸などの原材料費や外注加工費が高騰しており、収益環境はより厳しくなっている。販売価格への転嫁が必要不可欠であるものの、容易ではない。,,
,,▲,繊維工業（総務担当）,競争相手の様子,・得意先では販売量が前年比で15～30％ダウンしたとの声が多い。実際に、ある得意先の催事では20％前後のダウンがみられることから、当社への注文量も減少している。,,
,,▲,パルプ・紙・紙加工品製造業（経営者）,受注価格や販売価格の動き,・材料価格が上昇しているが、販売価格への転嫁が少し遅れている。また、一部の顧客では値上げが全く受け入れてもらえない。,,
,,▲,化学工業（企画担当）,受注価格や販売価格の動き,・欧州産の乳原料の高騰に続き、オセアニア産も前月比で２倍に上昇し始めている。国産原料の卵白や包装資材も高騰傾向にあることから、販売価格を見直しても利益にはつながらない。,,
,,▲,金属製品製造業（営業担当）,受注量や販売量の動き,・ニッケルの大幅な価格変動により、取引先では買い控えが起こっており、売上が減少している。,,
,,▲,一般機械器具製造業（経営者）,取引先の様子,・防衛関連の受注が大幅に減少している。,,
,,▲,その他製造業［履物］（団体役員）,受注量や販売量の動き,・秋物商材の受注が総じて低調である。,,
,,▲,その他非製造業［機械器具卸］（経営者）,取引先の様子,・受注のほか見積依頼が少なくなっている。,,
,,×,通信業（管理担当）,取引先の様子,・取引先からの受注状況が芳しくない。,,
"雇用
関連

(近畿)",,◎,－,－,－,,
,,○,人材派遣会社（経営者）,求人数の動き,・７、８月は弱い動きがみられたが、９月に入って年末や年度末へ向けての動きが出始めている。また、税理士や会計士からの派遣依頼も増えてきている。,,
,,○,職業安定所（職員）,それ以外,・大阪府の有効求人倍率は1.34倍と前月から0.03ポイント上昇し、いわゆるバブル期の最高値である1.31倍を上回り、昭和49年９月の1.45倍に次ぐ水準となっている。,,
,,○,民間職業紹介機関（職員）,求人数の動き,・日雇求人数のうち、いわゆる現金求人数が前年を下回る傾向が続いている。これには高齢化による求職者減少の影響が大きく、契約求人数などの指標では前年を上回っている。,,
,,○,学校［大学］（就職担当）,周辺企業の様子,・今月に実施した、追加求人アンケートへの回答企業数が前年よりも増加している。特に、採用予定数を確保できていない中小零細企業は、引き続き積極的である。,,
,,□,人材派遣会社（経営者）,求人数の動き,・企業の派遣需要は堅調に伸びている一方、派遣スタッフの新規登録者の確保が難しくなっている。,,
,,□,人材派遣会社（社員）,求人数の動き,・相変わらず売手市場が続いているものの、３か月前よりも状況が極端に厳しくなっているわけではない。,,
,,□,人材派遣会社（支店長）,求職者数の動き,・依然として企業からの求人内容と求職者の条件とのギャップが大きく、受注残の減らない状況が続いている。ただし最近は、派遣先企業も短時間勤務などで、スキルを持った主婦の受け入れを検討し始めている。,,
,,□,新聞社［求人広告］（営業担当）,求人数の動き,・９月に入って、生保や銀行、損保などの事務職の募集が活発になってきている。,,
,,□,新聞社［求人広告］（担当者）,周辺企業の様子,・医療サービスやビル管理、運輸などの広告出稿は堅調に推移している。また、今秋に行ったイベントや企画が成功したものの、広告の減少傾向に歯止めを掛けるまでには至っていない。,,
,,□,新聞社［求人広告］（担当者）,それ以外,・地元企業の動きが芳しくなく、特に新聞出稿に関しては前年比90％で推移している。,,
,,□,職業安定所（職員）,雇用形態の様子,・企業の人手不足感は強いものの、大企業は派遣社員で対応しており、正社員の中途採用はほとんどない。一方で中小企業は、学卒採用では大企業に押されて充足できないほか、中途採用で正社員を募集しても、応募者の希望条件が高くて充足できない状態が続いている。,,
