,,○,通信会社（役員）,販売量の動き,・前年12月から開始した新ＢＳ４Ｋ放送への関心が継続し、４Ｋ放送サービス契約が順調に推移するとともに、それに引っ張られる形で通信系サービスの契約も増加している。,
,,○,通信会社（役員）,販売量の動き,・４Ｋ放送がスタートし、客からの反響が好調である。放送、通信共に契約数が前年同期比プラスになっている。,
,,○,住宅販売会社（従業員）,お客様の様子,・イベントを実施したときに来場者数が多くなっている。客は動いている。,
,,○,住宅販売会社（従業員）,お客様の様子,・住宅展示場に来場する客の滞在時間が長くなったため、真剣に検討している客が増えてきたという手応えがある。,
,,□,商店街（代表者）,来客数の動き,・年末は忘年会などで飲食店はにぎわっていたが、物販は人出が今一つだった。初売りも従来の福袋は不人気で、体験型のものが人気と、今までと傾向が変わってきている。,
,,□,一般小売店［精肉］（店長）,販売量の動き,・前年11月から今年１月くらいまでは、ほぼ前年並みに動いており、良い悪いどちらともいえないという結果である。,
,,□,一般小売店［事務用品］（店員）,販売量の動き,・販売量は需要期に向けて増加傾向だが、客の値踏みが厳しく利益が取れていない。,
,,□,一般小売店［鮮魚］（役員）,販売量の動き,・特別目を引くような増加ではないが、ほとんどの部門で売上は前年を上回っている。観光客は安定して訪れているようで、多くの観光地は観光客でにぎわっている。,
,,□,百貨店（販売促進担当）,販売量の動き,・市内イベントによる集客効果で来客数が増加しており、食品部門は総菜や物産展を中心に好調である。しかし、ファッション部門は冬物クリアランスやセレモニー関連の動きが弱く、店全体として低調である。,
,,□,スーパー（総務担当）,単価の動き,・前年の１月は大雪のため、まとめ買いの客が多数来店し買上点数が増加していた。そのため結果的に売上が増加したが、今年は一転して暖冬のため、買上点数が減少し売上が前年を下回っている。,
,,□,スーパー（総務担当）,販売量の動き,・前年１月は大雪によるまとめ買いの特需があった。本年は野菜の相場安があったものの全体の販売量に差はなく変わらない。,
,,□,コンビニ（経営者）,販売量の動き,・来客数は微減が続いているが、客単価が上がっていることから、売上高は前年を維持している。,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の減少が大きい。,
,,□,衣料品専門店（経営者）,来客数の動き,・前年の初売りは雪で足場も悪く、車での移動も不便だったが、今年は天候に恵まれた分、来客数も若干増えている。,
,,□,衣料品専門店（経営者）,お客様の様子,・相変わらず衣料品については実用的な低価格志向が強く、売上と利益共に確保できない。,
,,□,乗用車販売店（経営者）,販売量の動き,・業界の需要期に入った月間だが、販売量は前年と同程度で進んでいる。,
,,□,乗用車販売店（役員）,お客様の様子,・先日行なった大型イベントでは、消費税の引上げ関連で補助金制度などに関心が集まっていたが、積極的に購入する意思のある客が前年に比べ少なかったようである。北陸では例年２～３月が年間を通じての最需要期となり、もう少し上向きになることを期待したい。,
,,□,自動車備品販売店（役員）,お客様の様子,・年始は降雪もなかったが、来客数は例年並みである。一部タイヤチェーン規制の情報から問合せは多かったが、メインサイズのメーカー欠品もあり、対応できないケースが多い。,
